V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-69.61887,26.310892,535.50195,95.92976,43.32,2.32,12.19,12.98
-82.33206,16.038076,511.60605,98.37014,99.15,2.8000000000000003,7.91,8.67
-77.58145,15.326064,515.0802,92.90752,69.84,2.49,7.3500000000000005,8.08
-81.13828,21.510199,516.5897,102.64848,99.17,5.09,14.18,15.120000000000001
-85.28722,31.06174,520.1322,116.34895,50.18,3.5,20.13,21.43
-81.93098,33.66255,522.16943,115.59353,99.17,3.47,19.59,20.68
-70.02777,19.872059,514.14996,89.899826,99.09,1.46,4.8,5.2700000000000005
-81.38224,17.614096,515.18915,98.99634,36.31,2.7800000000000002,8.370000000000001,9.16
-73.93931,30.79041,530.51154,104.72972,46.660000000000004,1.71,14.72,15.46
-70.72354,23.96765,524.7159,94.69119,90.09,1.57,7.8100000000000005,8.48
-75.62763,29.508236,529.43115,105.135864,47.36,2.5500000000000003,15.71,16.63
-72.102234,25.585936,528.2594,97.68817,99.17,4.43,16.28,17.13
-75.39643,21.971087,521.0415,97.367516,34.03,2.84,10.39,11.11
-83.2378,23.936674,513.46063,107.17448,53.82,2.72,10.94,11.81
-71.65616,27.231035,526.5964,98.88719,99.15,2.88,12.9,13.59
-79.292534,20.52525,518.528,99.81778,39.52,2.64,10.08,11.02
-71.72638,16.573236,515.0229,88.299614,34.22,1.42,4.46,5.01
-79.70597,28.261145,514.4025,107.96712,99.17,2.45,13.38,14.17
-76.01996,32.923283,530.92737,108.94324,99.12,2.23,19.650000000000002,20.5
-81.59519,23.102434,519.5233,104.697624,99.15,4.92,16.330000000000002,17.48
-87.37115,20.05786,512.3443,107.42901,99.17,4.29,12.530000000000001,13.790000000000001
-74.89161,32.51966,532.2195,107.41127,69.45,1.83,17.82,18.69
-75.4392,33.982063,536.5507,109.421265,93.67,3.24,21.53,22.81
-77.15767,28.21315,517.3933,105.37082,58.56,1.67,10.18,10.93
-87.50309,21.507568,504.65164,109.01066,99.29,2.32,8.0,8.8
-73.69265,27.839748,525.86005,101.532394,99.15,2.71,13.4,14.21
-79.58942,26.743519,507.3876,106.33293,99.16,1.94,8.88,9.52
-72.38588,28.039932,536.3424,100.42581,64.73,2.7600000000000002,16.82,18.05
-75.97558,30.728354,528.0767,106.70393,44.23,2.0,15.51,16.3
-82.63305,14.332805,506.73276,96.96585,42.52,2.02,5.25,5.86
-73.92997,25.261044,526.094,99.19101,36.53,2.32,11.86,12.55
-83.56637,26.69459,515.6501,110.260956,99.17,3.8200000000000003,14.5,15.5
-77.971985,31.564144,529.17816,109.53613,99.16,4.7,23.6,24.82
-81.52949,33.296074,526.4934,114.82556,59.74,5.05,24.39,25.8
-81.724045,25.537113,507.46222,107.261154,99.13,1.7,8.23,9.0
-72.962265,28.495377,529.1801,101.45764,99.17,3.45,15.85,16.64
-79.86056,19.086927,517.3299,98.94749,95.64,3.87,11.09,11.950000000000001
-76.90852,32.68683,528.2465,109.59535,99.17,5.68,21.98,23.07
-83.125114,17.322594,510.5027,100.44771,99.17,3.33,9.66,10.69
-84.29669,32.9466,517.47125,117.24329,99.17,4.28,20.29,21.52
-84.01777,20.383312,514.2354,104.40108,59.69,2.99,10.14,11.15
-79.221115,24.32136,518.9802,103.54247,99.17,4.89,14.75,15.69
-79.21268,30.706335,524.13885,109.919014,99.17,4.23,20.03,21.21
-81.4529,25.934385,509.5903,107.38729,99.17,2.32,10.14,10.870000000000001
-78.74288,26.707346,514.60693,105.450226,52.33,1.62,9.21,9.93
-76.29546,28.074385,527.3445,104.36985,99.17,5.15,18.72,20.0
-74.009186,31.79175,532.6483,105.800934,99.17,5.0200000000000005,20.7,21.69
-79.925026,28.370771,521.8354,108.2958,44.09,2.18,14.01,15.06
-73.186615,17.602783,518.6348,90.7894,27.17,1.86,6.25,6.84
-81.73023,24.749212,519.2426,106.47945,99.17,5.78,17.27,18.330000000000002
-75.802895,29.683933,528.26794,105.48683,87.03,2.93,16.1,17.2
-71.86537,27.067524,532.91705,98.93289,51.230000000000004,2.14,12.01,12.950000000000001
-70.78103,27.497755,530.5976,98.278786,99.17,3.86,14.57,15.34
-80.06525,29.992327,522.8327,110.05757,99.17,3.1,16.93,18.01
-78.04994,18.467602,513.0515,96.51755,57.1,1.85,6.43,7.2
-84.78399,25.942598,514.71136,110.726585,71.99,2.8000000000000003,13.38,14.5
-85.40367,25.666786,518.1512,111.07046,99.07000000000001,5.53,16.78,17.830000000000002
-72.589165,24.805185,525.5125,97.39435,99.17,2.95,12.200000000000001,12.950000000000001
-84.513374,22.92153,510.19852,107.434906,99.17,3.85,12.38,13.36
-80.303215,23.610167,518.09033,103.91338,99.17,4.14,14.34,15.26
-77.19411,25.38854,523.74884,102.58265,70.91,3.9,14.09,15.15
-74.91591,34.113564,534.0848,109.02947,77.31,3.37,19.740000000000002,20.68
-82.827385,32.010197,510.4933,114.837585,99.16,2.0300000000000002,13.21,13.98
-82.075356,26.782557,513.76575,108.85791,99.15,2.56,11.85,12.85
-72.83289,20.091766,518.968,92.92466,92.13,1.95,7.3,8.08
-73.71528,34.069733,540.7677,107.78501,99.17,3.02,22.650000000000002,23.88
-71.28677,31.785137,533.97174,103.071915,99.16,1.56,14.36,15.07
-79.34327,29.145302,516.7964,108.48857,99.15,2.22,12.94,13.75
-80.76901,12.054709,509.48907,92.82372,39.38,1.96,5.0,5.63
-72.732285,26.884867,527.4361,99.61715,46.31,1.51,10.17,11.02
-78.41065,20.574226,506.5053,98.98488,99.10000000000001,1.6,5.59,6.21
-77.87642,18.567478,519.5697,96.44389,36.39,2.57,9.33,10.4
-72.481865,25.539711,522.1457,98.021576,99.17,2.23,10.46,11.27
-75.291016,24.59354,523.10016,99.88455,99.17,4.14,14.530000000000001,15.52
-78.49197,13.660557,508.1203,92.15253,99.08,1.93,5.0600000000000005,5.63
-75.98064,25.603472,524.1146,101.58411,99.16,3.8200000000000003,14.94,15.94
-71.43767,32.648174,540.3293,104.085846,99.13,3.7,20.17,21.13
-78.78389,30.343796,518.5214,109.127686,52.25,1.92,12.13,13.02
-71.84512,29.427608,534.717,101.272736,78.07000000000001,2.48,14.39,15.27
-74.530594,35.944557,541.1045,110.47515,99.17,4.41,24.14,25.28
-76.45082,19.637619,519.8656,96.08844,47.88,2.74,10.05,10.98
-80.452225,34.717567,531.2236,115.16979,58.06,3.83,26.48,28.04
-74.942825,29.1994,530.3785,104.14223,99.17,3.36,17.46,18.490000000000002
-72.935715,20.300913,521.6276,93.236626,99.16,3.2600000000000002,10.370000000000001,11.290000000000001
-75.01592,25.572329,524.7095,100.58825,54.4,2.56,12.61,13.41
-78.50165,24.318447,520.84607,102.8201,99.17,4.15,14.47,15.59
-74.70899,33.45408,534.9828,108.16307,99.17,4.18,23.06,24.09
-72.49893,21.927242,514.3904,94.42618,53.65,1.48,5.5600000000000005,6.09
-72.209206,26.522726,529.13763,98.73193,99.16,3.96,14.41,15.22
-72.38879,27.522799,530.98505,99.91158,99.13,3.09,13.700000000000001,14.63
-70.8061,22.90518,526.41223,93.71128,50.19,2.16,9.14,9.78
-79.45158,25.682095,521.8378,105.13367,35.24,3.5100000000000002,15.120000000000001,16.11
-82.34134,17.517818,510.1313,99.85916,76.61,2.19,7.03,7.9
-79.63824,19.225666,517.056,98.86391,99.16,3.38,10.43,11.55
-86.921005,26.488667,508.6425,113.40967,99.14,2.32,11.33,12.16
-79.34601,28.410496,524.098,107.7565,61.0,2.92,16.01,16.990000000000002
-72.89854,28.661806,524.948,101.56034,99.02,1.47,10.540000000000001,11.17
-83.13807,27.609877,519.64465,110.74795,52.74,3.88,16.3,17.29
-79.44819,18.767612,514.76917,98.215805,83.32000000000001,2.62,8.48,9.47
-74.788864,21.504652,515.1687,96.29352,55.14,1.58,6.44,7.07
-86.449196,16.291162,514.5306,102.74036,99.17,4.54,11.55,12.65
-84.935356,23.347486,512.1974,108.282845,99.17,3.0100000000000002,11.620000000000001,12.65
-72.43877,33.252106,538.84814,105.69087,99.17,4.55,21.990000000000002,23.02
-81.70296,18.550406,517.3917,100.253365,99.17,4.96,13.96,15.18
-78.79773,20.531254,519.98895,99.32898,94.92,3.63,12.450000000000001,13.57
-81.80168,27.57913,516.0916,109.38081,99.17,3.86,15.55,16.47
-85.25954,33.756546,523.07245,119.01608,61.76,4.57,24.67,25.900000000000002
-78.35577,29.091137,523.771,107.4469,99.16,4.53,18.64,19.68
-71.88554,25.879639,527.0838,97.765175,99.13,2.16,11.52,12.22
-86.75206,27.877316,514.53925,114.62938,58.3,2.85,14.0,14.93
-73.83064,30.709457,532.24786,104.5401,99.14,3.63,18.03,18.830000000000002
-73.59614,18.101915,505.8428,91.69805,99.12,1.42,4.2,4.67
-79.62372,24.556871,508.2392,104.18059,99.16,1.9100000000000001,8.72,9.35
-86.11705,31.809668,515.37897,117.92672,99.17,3.95,18.53,19.59
-85.146324,26.721476,518.3722,111.8678,99.17,8.35,22.78,24.16
-77.87162,28.928278,523.70593,106.7999,71.66,3.48,16.28,17.32
-79.33744,33.28845,512.93896,112.625885,99.16,2.0300000000000002,13.6,14.31
-70.2623,32.467266,549.04535,102.72957,86.3,2.34,20.14,21.22
-72.661736,28.111008,534.4683,100.77274,37.04,2.29,15.290000000000001,16.14
-78.58126,21.8349,520.74713,100.41616,99.17,4.0600000000000005,13.6,14.75
-75.95325,28.493977,527.6089,104.44722,99.17,5.0600000000000005,19.92,21.13
-83.59892,26.916052,516.265,110.51498,99.17,4.62,16.72,17.67
-82.02755,33.85869,525.5057,115.88624,99.17,5.75,24.560000000000002,25.740000000000002
-75.191025,30.436255,523.93097,105.62728,99.16,2.04,13.51,14.25
-73.79964,34.92053,539.68896,108.72017,99.17,5.6000000000000005,25.650000000000002,26.82
-82.19328,31.373095,517.51587,113.566376,52.660000000000004,2.18,15.59,16.5
-74.212036,27.865688,523.0381,102.07773,41.15,1.55,10.6,11.25
