Model,Training Samples,Inference Time (100k samples) (s),MARE,MSE,R2,MARE_QoI_0,MSE_QoI_0,MARE_QoI_1,MSE_QoI_1,MARE_QoI_2,MSE_QoI_2,MARE_QoI_3,MSE_QoI_3,MARE_QoI_4,MSE_QoI_4,MARE_QoI_5,MSE_QoI_5,Training Time (s),Memory (gpu),Training Iterations,id
PCE_5,1000,114.69196524620057,0.0010609339434165383,4.297604087724788e-06,0.9999932509495736,1.3644180369258854e-05,3.8199648591225617e-10,6.355442713724415e-05,1.0855071829601065e-08,0.0004321029913592607,3.5039874582587027e-07,0.0017066151894621754,6.242829943476285e-06,0.0018786598462267464,7.66846095904971e-06,0.0022710270259445444,1.1512697809681345e-05,1.1637063026428223,0.0,-1,20
gp_L,1000,0.22745332717895508,0.00422077380017293,6.776172655395764e-05,0.9999073774092763,0.0007325565976670547,1.0013564192877922e-06,0.0026285891492073524,1.8084464101078655e-05,0.0009169779020496194,1.7016322195541667e-06,0.0064606434299566045,0.00010204006434701085,0.006701708218244119,0.00011058102246972334,0.00788416750391283,0.00017316181976709103,177.8511254787445,82.15185546875,229,21
gp_M,1000,0.16685142517089843,0.004622751935533059,7.375242060617698e-05,0.9998887459482965,0.0008612001712248786,1.342010636889606e-06,0.002785829549181206,1.9237723734258994e-05,0.0008551218950653779,1.513281708923007e-06,0.007234347611346837,0.00012532530924035505,0.007938096433050245,0.00014075162155416515,0.008061915953329809,0.00015434457676247006,46.48902869224548,204.99609375,278,22
gp_S,1000,0.10440421104431152,0.00204658591924238,1.3726533108824277e-05,0.999976844863222,0.00032225892431603204,1.4932840676077973e-07,0.0009613586195556685,1.6922827102230232e-06,0.0003494173284318559,2.4814780469956005e-07,0.004514534537263443,4.2867856352062336e-05,0.002797357280048066,1.4926689629603612e-05,0.0033345888258392163,2.2474893749596353e-05,126.67074537277222,311.732421875,1004,23
NN_S,1000,0.00469050407409668,0.0021426058729382786,1.4874988381094456e-05,0.9999820797275812,0.00014627624060846464,4.258037599477656e-08,0.002532382384303471,1.5584128652109374e-05,0.0009514022951230537,2.3986557728458514e-06,0.0028569079033270743,1.722705478461626e-05,0.0029069084414729035,1.9987963647560152e-05,0.0034617579727947065,3.400954705344032e-05,1.8506920337677002,17.2578125,4288,24
NN_M,1000,0.004757738113403321,0.0013775799422556705,1.0298117020623608e-05,0.9999896039201202,8.849100070598898e-05,1.8633352914603775e-08,0.0006824139865911227,1.6599995903747388e-06,0.0006872136410097669,1.089348839105675e-06,0.0019231658998229058,1.1691436972594107e-05,0.002209535225644132,1.5716042334912455e-05,0.0026746598997601056,3.161324103384007e-05,2.113403081893921,17.27734375,4696,25
NN_L,1000,0.005314064025878906,0.0010700186833206952,5.978196703710057e-06,0.9999916350607815,7.270375073769655e-05,1.1310984689739077e-08,0.00010567005596588017,9.45318916500605e-08,0.000275463314498357,1.8480499675338803e-07,0.0017124221249603746,7.489332606115905e-06,0.0018896113876621023,9.33845302320916e-06,0.002364241466099761,1.8750746719842086e-05,4.660706520080566,17.45703125,8048,26
PCE_2,200,98.45260071754456,0.0030655683781340808,2.9248299264214682e-05,0.9999637514121404,0.00044221999653978265,2.8251829060309626e-07,0.003037175047097333,1.652757394687886e-05,0.0014752661695161826,3.6681885670697684e-06,0.004102532034600651,4.008157245134971e-05,0.004268875263404117,4.4524568215647185e-05,0.005067341757646416,7.040537411373949e-05,0.20502305030822754,0.0,-1,27
PCE_3,200,101.910959815979,0.0016317962843099235,9.387869681846783e-06,0.9999886121737395,5.76769924359958e-05,5.411717248588932e-09,0.0007616561001278594,1.206880748124707e-06,0.0009064784748244647,1.7426828812916115e-06,0.0023438136724952324,1.2284413779439653e-05,0.0025507464999714015,1.5051562887870362e-05,0.0031704059660045874,2.6036266077105776e-05,0.22020959854125977,0.0,-1,28
PCE_5,200,114.08423099517822,0.001259945327425152,6.987262678261636e-06,0.9999901338400231,1.613562365418653e-05,5.699144156746825e-10,7.434336561749834e-05,1.6726014279492862e-08,0.000614703463947659,1.0529478984068725e-06,0.001995236703769006,9.889381450689547e-06,0.00220060855692633,1.2346375568643229e-05,0.002658644250636233,1.8617575223135005e-05,0.25961875915527344,0.0,-1,29
gp_L,200,0.22523279190063478,0.01048544990370455,0.00031329785582665746,0.9994228184512673,0.002081620681115484,6.301118885067171e-06,0.0059382615711952,6.445235060216567e-05,0.002178463163431352,7.827385208081031e-06,0.016651067289345383,0.0005500385405718994,0.017552692296322794,0.0005524384232861597,0.01851059442081709,0.0006987293164065714,10.409624338150024,22.77587890625,198,30
gp_M,200,0.16513586044311523,0.011353943657560327,0.00036725476826870307,0.999394538680459,0.0026331513471652144,9.82238972265091e-06,0.006636702056112372,8.598958886396836e-05,0.0021787126955212475,7.767936107913523e-06,0.017916937615824583,0.0006127923145078856,0.018535772544679124,0.0006732309757536588,0.020222385686059424,0.0008139254046561412,6.714908838272095,20.91552734375,242,31
gp_S,200,0.10383119583129882,0.017609262514704432,0.0008368811010040372,0.9984707924134861,0.003445220170604798,1.8860620517039528e-05,0.008918988241091868,0.0001507458678774272,0.003601389613829588,2.0094622138114217e-05,0.0300987557417689,0.001584431779260203,0.02871107618596962,0.0014728980961438442,0.030880145134961828,0.001774255620087596,4.636698246002197,31.18505859375,219,32
NN_S,200,0.004708147048950196,0.0031309664073239903,3.958020262321857e-05,0.999957279994025,0.0003407408480031766,2.045104707119676e-07,0.0031504321481157743,2.8020354830781564e-05,0.0014724574742094347,3.971296844731037e-06,0.004177191397764896,5.409640702134149e-05,0.004327237053112303,5.989009496232368e-05,0.005317739522738355,9.129855160942167e-05,0.9240677356719971,17.2578125,2221,33
NN_M,200,0.004564046859741211,0.001823654952985254,1.6835528233451603e-05,0.999984982162937,0.00014594329646928488,4.5988497547630826e-08,0.0015467703119995879,7.80571119684716e-06,0.0008134348456843726,2.19164651567517e-06,0.0022714228990876415,1.5107480198336367e-05,0.002603937137484462,2.199640186957013e-05,0.0035604212271861746,5.3865941122733144e-05,1.1044230461120605,17.27734375,2470,34
NN_L,200,0.005293416976928711,0.0013237648710675847,9.250222183811059e-06,0.9999899372592012,0.00019568487245659306,1.0234826857356414e-07,0.00037319499774779387,9.444266849626518e-07,0.0007019932759279353,1.408157326484395e-06,0.001990906187345188,1.3819050197307414e-05,0.0020692096754157704,1.427232599228071e-05,0.0026116002175122265,2.4955024633257616e-05,0.9727809429168701,17.45703125,1637,35
