V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-76.68171,26.077324,521.84283,102.75903,99.16,2.96,13.33,14.21
-84.203636,26.971714,514.4539,111.175354,99.16,3.39,14.14,15.1
-71.93363,27.76552,527.6971,99.69915,99.09,1.9000000000000001,11.28,12.0
-80.8611,24.923029,512.31464,105.78413,99.15,2.33,10.35,11.15
-70.74688,25.706896,528.5935,96.45377,98.93,2.08,10.620000000000001,11.36
-79.26829,27.916374,524.023,107.18466,99.15,4.8100000000000005,18.71,19.81
-86.517746,28.664925,519.6199,115.18267,99.17,6.38,21.5,22.81
-78.70893,28.032106,521.87866,106.741035,99.17,3.42,15.700000000000001,16.66
-83.58559,27.92413,520.5217,111.50972,99.15,5.55,19.59,20.79
-72.85558,25.996685,523.25586,98.852264,99.13,1.92,10.08,10.8
-84.78805,24.325392,511.8763,109.11344,99.16,3.13,11.83,12.75
-73.24173,28.82814,531.48413,102.06987,99.15,3.02,15.99,16.89
-74.44845,27.84683,529.38965,102.29528,99.03,3.74,16.88,17.84
-87.85176,26.320532,513.3751,114.172295,99.17,4.28,15.1,16.17
-69.59299,27.740908,537.84784,97.33389,96.52,2.87,14.91,15.76
-74.00434,28.754662,531.3336,102.759,99.12,3.69,17.6,18.57
-84.01788,28.191078,517.28973,112.20896,99.16,4.1,16.63,17.68
-74.556,27.160452,520.2098,101.71645,99.13,1.82,10.34,11.05
-73.07593,26.607088,527.9587,99.683014,98.96000000000001,2.7600000000000002,13.46,14.31
-76.358765,25.282488,516.2723,101.64125,99.14,1.96,9.6,10.33
-81.88752,22.827269,506.9642,104.71479,99.17,2.0,7.92,8.64
-81.55476,29.136946,522.3018,110.69171,99.16,4.9,19.59,20.72
-72.144005,27.260977,531.1179,99.40498,99.04,2.87,14.35,15.21
-73.453575,25.82727,514.31903,99.280846,99.15,1.4000000000000001,7.09,7.68
-82.45653,26.621693,520.75995,109.07822,99.16,5.44,18.52,19.69
-74.38867,26.185,521.7776,100.57367,99.13,2.1,10.88,11.64
-72.57381,27.52448,528.4641,100.09829,99.16,2.32,12.76,13.55
-70.79766,26.219465,528.0904,97.01713,99.08,1.9000000000000001,10.24,10.950000000000001
-78.214905,25.544554,522.731,103.75946,99.13,4.32,15.96,16.990000000000002
-71.612526,26.698223,528.0599,98.310745,99.11,2.07,11.26,12.0
-82.68237,27.62225,518.6174,110.30463,99.16,4.19,16.59,17.64
